created_at,entry_id,field2
2025-04-14 22:02:17 UTC,140601,19.000
2025-04-14 22:17:18 UTC,140602,19.000
2025-04-14 22:32:19 UTC,140603,19.000
2025-04-14 22:47:19 UTC,140604,19.000
2025-04-14 23:02:20 UTC,140605,19.000
2025-04-14 23:17:20 UTC,140606,19.000
2025-04-14 23:32:25 UTC,140607,19.000
2025-04-14 23:47:26 UTC,140608,19.000
2025-04-15 00:02:28 UTC,140609,19.000
2025-04-15 00:17:30 UTC,140610,19.000
2025-04-15 00:32:31 UTC,140611,19.000
2025-04-15 00:47:33 UTC,140612,19.000
2025-04-15 01:02:35 UTC,140613,19.000
2025-04-15 01:17:35 UTC,140614,19.000
2025-04-15 01:32:36 UTC,140615,19.000
2025-04-15 01:47:38 UTC,140616,19.000
2025-04-15 02:02:38 UTC,140617,19.000
2025-04-15 02:17:39 UTC,140618,19.000
2025-04-15 02:32:40 UTC,140619,19.000
2025-04-15 02:47:41 UTC,140620,19.000
2025-04-15 03:02:42 UTC,140621,19.000
2025-04-15 03:17:44 UTC,140622,20.000
2025-04-15 03:32:46 UTC,140623,19.000
2025-04-15 03:47:47 UTC,140624,20.000
2025-04-15 04:02:49 UTC,140625,19.000
2025-04-15 04:17:49 UTC,140626,19.000
2025-04-15 04:32:51 UTC,140627,19.000
2025-04-15 04:47:52 UTC,140628,19.000
2025-04-15 05:02:53 UTC,140629,19.000
2025-04-15 05:17:54 UTC,140630,19.000
2025-04-15 05:32:56 UTC,140631,19.000
2025-04-15 05:47:57 UTC,140632,19.000
2025-04-15 06:02:58 UTC,140633,19.000
2025-04-15 06:17:59 UTC,140634,19.000
2025-04-15 06:33:00 UTC,140635,19.000
2025-04-15 06:48:01 UTC,140636,19.000
2025-04-15 07:03:02 UTC,140637,19.000
2025-04-15 07:18:03 UTC,140638,19.000
2025-04-15 07:33:04 UTC,140639,19.000
2025-04-15 07:48:05 UTC,140640,19.000
2025-04-15 08:03:07 UTC,140641,19.000
2025-04-15 08:18:08 UTC,140642,19.000
2025-04-15 08:33:09 UTC,140643,19.000
2025-04-15 08:48:10 UTC,140644,19.000
2025-04-15 09:03:12 UTC,140645,19.000
2025-04-15 09:18:13 UTC,140646,19.000
2025-04-15 09:33:15 UTC,140647,19.000
2025-04-15 09:48:16 UTC,140648,19.000
2025-04-15 10:03:16 UTC,140649,19.000
2025-04-15 10:18:18 UTC,140650,20.000
2025-04-15 10:33:19 UTC,140651,20.000
2025-04-15 10:48:21 UTC,140652,20.000
2025-04-15 11:03:22 UTC,140653,20.000
2025-04-15 11:18:24 UTC,140654,20.000
2025-04-15 11:33:25 UTC,140655,20.000
2025-04-15 11:48:27 UTC,140656,20.000
2025-04-15 12:03:28 UTC,140657,20.000
2025-04-15 12:18:29 UTC,140658,20.000
2025-04-15 12:33:30 UTC,140659,20.000
2025-04-15 12:48:32 UTC,140660,20.000
2025-04-15 13:03:34 UTC,140661,20.000
2025-04-15 13:18:35 UTC,140662,20.000
2025-04-15 13:33:37 UTC,140663,20.000
2025-04-15 13:48:38 UTC,140664,20.000
2025-04-15 14:03:40 UTC,140665,20.000
2025-04-15 14:18:41 UTC,140666,19.000
2025-04-15 14:33:43 UTC,140667,19.000
2025-04-15 14:48:45 UTC,140668,19.000
2025-04-15 15:03:46 UTC,140669,19.000
2025-04-15 15:18:48 UTC,140670,19.000
2025-04-15 15:33:49 UTC,140671,19.000
2025-04-15 15:48:51 UTC,140672,19.000
2025-04-15 16:03:52 UTC,140673,19.000
2025-04-15 16:18:53 UTC,140674,19.000
2025-04-15 16:33:54 UTC,140675,19.000
2025-04-15 16:48:55 UTC,140676,19.000
2025-04-15 17:03:57 UTC,140677,19.000
2025-04-15 17:18:58 UTC,140678,19.000
2025-04-15 17:33:58 UTC,140679,19.000
2025-04-15 17:48:59 UTC,140680,19.000
2025-04-15 18:04:00 UTC,140681,19.000
2025-04-15 18:19:00 UTC,140682,19.000
2025-04-15 18:34:01 UTC,140683,19.000
2025-04-15 18:49:01 UTC,140684,19.000
2025-04-15 19:04:02 UTC,140685,19.000
2025-04-15 19:19:04 UTC,140686,19.000
2025-04-15 19:34:04 UTC,140687,19.000
2025-04-15 19:49:05 UTC,140688,19.000
2025-04-15 20:04:07 UTC,140689,19.000
2025-04-15 20:19:08 UTC,140690,19.000
2025-04-15 20:34:10 UTC,140691,19.000
2025-04-15 20:49:11 UTC,140692,19.000
2025-04-15 21:04:13 UTC,140693,19.000
2025-04-15 21:19:15 UTC,140694,19.000
2025-04-15 21:34:15 UTC,140695,19.000
2025-04-15 21:49:16 UTC,140696,19.000
2025-04-15 22:04:17 UTC,140697,19.000
2025-04-15 22:19:17 UTC,140698,19.000
2025-04-15 22:34:18 UTC,140699,19.000
2025-04-15 22:49:18 UTC,140700,19.000
